Formulation_Number,Main_Formulation_Number,Sub_Formulation_Number,Mixing_Time,Active_1,Active_2,RM_3,RM_4,Active_3,RM_6,RM_7,RM_8,Active_4,Water,Crashout,Viscosity
60,3,5,1,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0055,6638
61,3,1,1.5,5,1.44,0.73,1.06,0.94,10.56,3.06,0.81,39.44,36.96,0.2687,1503
62,3,2,1.5,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.0012,9351
63,3,3,1.5,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0176,8072
64,3,4,1.5,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0001,7389
65,3,5,1.5,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0074,7329
66,3,1,2,5,1.44,0.73,1.06,0.94,10.56,3.06,0.81,39.44,36.96,1.0586,1643
67,3,2,2,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.0057,9835
68,3,3,2,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0207,8774
69,3,4,2,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0069,7657
70,3,5,2,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0011,7443
71,3,1,2.5,5,1.44,0.73,1.06,0.94,10.56,3.06,0.81,39.44,36.96,0.8003,1414
72,3,2,2.5,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.0042,9656
73,3,3,2.5,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0125,8596
74,3,4,2.5,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0097,7265
75,3,5,2.5,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0075,6865
76,4,1,0.5,10,0.89,0.17,0.5,0.39,10,2.5,0.25,38.89,36.41,1.21,416
77,4,2,0.5,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.189,3503
78,4,3,0.5,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.321,2496
79,4,4,0.5,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.2152,1985
80,4,5,0.5,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.203,1756
81,4,1,1,10,0.89,0.17,0.5,0.39,10,2.5,0.25,38.89,36.41,1.16,888
82,4,2,1,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.167,7661
83,4,3,1,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.091,4700
84,4,4,1,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.0178,4221
85,4,5,1,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.0169,6527
86,4,1,1.5,10,0.89,0.17,0.5,0.39,10,2.5,0.25,38.89,36.41,1.14,1367
87,4,2,1.5,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.012,9293
88,4,3,1.5,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.031,7942
89,4,4,1.5,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.0165,7252
90,4,5,1.5,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.012,7227
91,4,1,2,10,0.89,0.17,0.5,0.39,10,2.5,0.25,38.89,36.41,1.34,1458
92,4,2,2,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.0084,9870
93,4,3,2,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.025,8717
94,4,4,2,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.0145,7618
95,4,5,2,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.008,7371
96,4,1,2.5,10,0.89,0.17,0.5,0.39,10,2.5,0.25,38.89,36.41,1.4801,1270
97,4,2,2.5,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.0061,9570
98,4,3,2.5,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.234,8524
99,4,4,2.5,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.012,7209
100,4,5,2.5,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.0078,6834
