Mixing_Time,Active_1,Active_2,RM_3,RM_4,Active_3,RM_6,RM_7,RM_8,Active_4,Water,Crashout,Viscosity,PC_1-4,PC_2-4,PC_3-4,PC_4-4,PC_1-5,PC_2-5,PC_3-5,PC_4-5,PC_5-5
0.5,0,2.0,1.28,1.61,1.5,11.11,3.61,1.36,40.0,37.52,0.0,516,-1.2664236449410486,5.491935213202164,0.6885808511117033,-1.0883679137471327,-1.2664236449410486,5.491935213202164,0.6885808511117033,-1.0883679137471327,0.6465156954186293
0.5,0,4.0,1.28,1.61,3.0,11.11,3.61,1.36,25.0,49.02,0.0,3543,-2.86918618525339,-1.8282470224047684,1.162893628950387,-0.9546218262214402,-2.86918618525339,-1.8282470224047684,1.162893628950387,-0.9546218262214402,0.45954073848144555
0.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28.0,46.62,0.0,2488,-2.582069285365524,-0.4150672383644061,1.0650634157446024,-1.0096573753221985,-2.582069285365524,-0.4150672383644061,1.0650634157446024,-1.0096573753221985,0.23166100837262993
0.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0.0,1914,-2.5985719364240665,0.11844674204050845,1.0264445292004227,-1.0758224635448115,-2.5985719364240665,0.11844674204050845,1.0264445292004227,-1.0758224635448115,-0.31755128225087054
0.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0.0,1875,-2.576872626672883,0.03548151160049225,1.0281457879034726,-1.074735949206009,-2.576872626672883,0.03548151160049225,1.0281457879034726,-1.074735949206009,-0.29990997973323724
1.0,0,2.0,1.28,1.61,1.5,11.11,3.61,1.36,40.0,37.52,0.0,1215,-1.283220498829357,5.470230138977569,0.15022406036126446,-0.6222637060469938,-1.283220498829357,5.470230138977569,0.15022406036126446,-0.6222637060469938,0.6082715285622426
1.0,0,4.0,1.28,1.61,3.0,11.11,3.61,1.36,25.0,49.02,0.0,7745,-2.8859830391417027,-1.8499520966293657,0.6245368381999481,-0.48851761852130154,-2.8859830391417027,-1.8499520966293657,0.6245368381999481,-0.48851761852130154,0.4212965716250593
1.0,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28.0,46.62,0.0,4682,-2.5988661392538326,-0.43677231258900084,0.5267066249941631,-0.5435531676220599,-2.5988661392538326,-0.43677231258900084,0.5267066249941631,-0.5435531676220599,0.1934168415162415
1.0,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0.0,4244,-2.6153687903123743,0.09674166781591292,0.48808773844998327,-0.609718255844673,-2.6153687903123743,0.09674166781591292,0.48808773844998327,-0.609718255844673,-0.3557954491072581
1.0,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0.0,6681,-2.5936694805611915,0.013776437375897413,0.48978899715303337,-0.60863174150587,-2.5936694805611915,0.013776437375897413,0.48978899715303337,-0.60863174150587,-0.33815414658962467
1.5,0,2.0,1.28,1.61,1.5,11.11,3.61,1.36,40.0,37.52,0.0,1681,-1.3000173527176648,5.4485250647529755,-0.3881327303891756,-0.15615949834685558,-1.3000173527176648,5.4485250647529755,-0.3881327303891756,-0.15615949834685558,0.5700273617058546
